id,name_1,img_route_1,cloth_category_1,cloth_subcategory_1,patron_1,sleeve_1,skirt_1,neckline_1,material_1,fit_1,isCold_1,isRainy_1,isWet_1,isTempered_1,isHot_1,nota_1,name_2,img_route_2,cloth_category_2,cloth_subcategory_2,patron_2,sleeve_2,skirt_2,neckline_2,material_2,fit_2,isCold_2,isRainy_2,isWet_2,isTempered_2,isHot_2,nota_2,name_3,img_route_3,cloth_category_3,cloth_subcategory_3,patron_3,sleeve_3,skirt_3,neckline_3,material_3,fit_3,isCold_3,isRainy_3,isWet_3,isTempered_3,isHot_3,nota_3,name_4,img_route_4,cloth_category_4,cloth_subcategory_4,patron_4,sleeve_4,skirt_4,neckline_4,material_4,fit_4,isCold_4,isRainy_4,isWet_4,isTempered_4,isHot_4,nota_4,name_5,img_route_5,cloth_category_5,cloth_subcategory_5,patron_5,sleeve_5,skirt_5,neckline_5,material_5,fit_5,isCold_5,isRainy_5,isWet_5,isTempered_5,isHot_5,nota_5,name_6,img_route_6,cloth_category_6,cloth_subcategory_6,patron_6,sleeve_6,skirt_6,neckline_6,material_6,fit_6,isCold_6,isRainy_6,isWet_6,isTempered_6,isHot_6,nota_6
169,Butterfly Print Blouse,Butterfly_Print_Blouse/img_00000074.jpg,1,1,2,2,3,4,3,1,0,0,0,1,1,2,Oversized Fuzzy Knit Cardigan,Oversized_Fuzzy_Knit_Cardigan/img_00000006.jpg,2,2,6,1,3,2,6,3,1,0,0,0,0,4,Faux Fur Hood Parka,Faux_Fur_Hood_Parka/img_00000043.jpg,3,4,6,1,3,1,5,3,1,1,0,0,0,4,Jockey reggaeton,hats/hat12.jpg,4,10,0,0,0,0,0,1,1,0,0,1,1,2,Zapatos formales,shoes/new_shoes11.jpg,5,9,0,0,0,0,4,0,1,0,0,1,1,3,High-Waisted Denim Shorts,High-Waisted_Denim_Shorts/img_00000017.jpg,6,4,6,3,3,4,1,3,0,0,1,1,1,5
170,Colorblocked Tribal Print Blouse,Colorblocked_Tribal_Print_Blouse/img_00000106.jpg,1,1,6,3,3,2,3,3,0,0,1,1,1,2,V-Neck Cardigan,V-Neck_Cardigan/img_00000027.jpg,2,2,6,1,3,2,6,3,0,0,0,1,0,2,Structured Quilted Jacket,Structured_Quilted_Jacket/img_00000011.jpg,3,3,6,1,3,2,4,3,1,0,0,0,0,5,Gorro para el sol,hats/new_hat1.jpg,4,1,6,0,0,0,6,2,0,0,0,1,1,3,Bototos,shoes/shoes4.jpg,5,4,6,0,0,0,4,1,1,1,1,0,0,4,M-Slit Knit Maxi Skirt,M-Slit_Knit_Maxi_Skirt/img_00000014.jpg,6,2,6,3,3,4,3,3,0,0,1,1,1,1
171,Embellished Boxy Tee,Embellished_Boxy_Tee/img_00000017.jpg,1,6,2,2,3,1,3,3,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Draped Asymmetrical Front Jacket,Draped_Asymmetrical_Front_Jacket/img_00000018.jpg,3,3,6,1,3,2,4,3,1,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bototos,shoes/shoes4.jpg,5,4,6,0,0,0,4,1,1,1,1,0,0,4,Low-Rise - Distressed Skinny Jeans,Low-Rise_-_Distressed_Skinny_Jeans/img_00000075.jpg,6,8,6,3,3,4,1,1,1,1,1,1,1,4
172,Van Halen Cutout Muscle Tee,Van_Halen_Cutout_Muscle_Tee/img_00000006.jpg,1,6,2,1,3,1,3,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gorro para el sol,hats/new_hat1.jpg,4,1,6,0,0,0,6,2,0,0,0,1,1,3,Hawaianas,shoes/shoes6.jpg,5,6,6,0,0,0,0,2,0,0,1,1,1,3,Pleated Maxi Skirt,Pleated_Maxi_Skirt/img_00000039.jpg,6,2,5,3,3,4,2,2,0,0,0,1,1,3
173,Camera Grid Muscle Tee,Camera_Grid_Muscle_Tee/img_00000026.jpg,1,6,2,3,3,1,3,2,0,0,0,1,1,3,Fringed Open-Front Cardigan,Fringed_Open-Front_Cardigan/img_00000010.jpg,2,2,6,1,3,4,6,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crochet,hats/hat7.jpg,4,6,0,0,0,0,6,1,1,1,0,0,0,4,Sandalias,shoes/new_shoes5.jpg,5,5,0,0,0,0,4,1,0,0,0,1,1,2,Textured Stripe Knit Skirt,Textured_Stripe_Knit_Skirt/img_00000008.jpg,6,2,3,3,3,4,6,1,0,0,0,1,0,4
174,V-Neck Tank,V-Neck_Tank/img_00000024.jpg,1,5,6,3,3,4,3,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boina,hats/hat9.jpg,4,7,0,0,0,0,5,2,1,0,0,1,0,2,Bototos,shoes/shoes4.jpg,5,4,6,0,0,0,4,1,1,1,1,0,0,4,M-Slit Pleated Maxi Skirt,M-Slit_Pleated_Maxi_Skirt/img_00000048.jpg,6,2,5,3,3,4,3,3,0,0,0,1,1,3
175,Lace Swing Tank,Lace_Swing_Tank/img_00000058.jpg,1,5,4,3,3,4,3,2,0,0,0,1,1,4,Be Seen Open-Knit Sweater,Be_Seen_Open-Knit_Sweater/img_00000017.jpg,2,5,6,1,3,1,6,3,1,0,0,1,0,4,Faux Leather-Paneled Mesh Jacket,Faux_Leather-Paneled_Mesh_Jacket/img_00000001.jpg,3,3,6,1,3,1,6,3,1,1,0,0,0,4,Boina,hats/hat9.jpg,4,7,0,0,0,0,5,2,1,0,0,1,0,2,Zapatillas de deporte,shoes/shoes9.jpg,5,8,6,0,0,0,0,1,1,0,0,1,1,3,Topstitched Jodhpurs,Topstitched_Jodhpurs/img_00000038.jpg,6,14,6,3,3,4,1,3,1,1,1,1,1,3
176,Abstract Varsity-Striped Top,Abstract_Varsity-Striped_Top/img_00000018.jpg,1,7,6,1,3,1,3,3,1,0,0,1,0,5,Eyelash Lace Maxi Cardigan,Eyelash_Lace_Maxi_Cardigan/img_00000010.jpg,2,2,6,3,1,4,2,3,0,0,0,1,1,2,Drape-Front Shawl Collar Jacket,Drape-Front_Shawl_Collar_Jacket/img_00000025.jpg,3,3,7,1,3,1,4,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Converse,shoes/shoes13.jpg,5,11,0,0,0,0,4,3,1,0,0,1,1,5,High-Waisted Matelot Skinny Jeans,High-Waisted_Matelot_Skinny_Jeans/img_00000043.jpg,6,8,6,3,3,4,3,3,1,0,1,1,1,4
177,SpongeBob V-Neck Tee,SpongeBob_V-Neck_Tee/img_00000056.jpg,1,6,3,2,3,2,3,3,0,0,0,0,1,2,Fringed Shawl Collar Cardigan,Fringed_Shawl_Collar_Cardigan/img_00000016.jpg,2,2,2,1,3,2,6,3,0,0,1,0,0,3,Waffle-Textured Moto Jacket,Waffle-Textured_Moto_Jacket/img_00000033.jpg,3,3,6,1,3,2,3,3,0,0,1,1,1,3,Gorro para el sol,hats/new_hat1.jpg,4,1,6,0,0,0,6,2,0,0,0,1,1,3,Zapatos formales,shoes/new_shoes10.jpg,5,9,0,0,0,0,4,1,1,0,0,1,1,3,Bleached Denim Cutoffs,Bleached_Denim_Cutoffs/img_00000025.jpg,6,1,1,3,3,4,1,1,0,0,0,0,1,2
178,Classic Knit Turtleneck,Classic_Knit_Turtleneck/img_00000032.jpg,1,8,6,1,3,1,6,3,1,0,1,1,0,5,Southwestern-Patterned Burnout Cardigan,Southwestern-Patterned_Burnout_Cardigan/img_00000008.jpg,2,2,4,1,3,1,3,2,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Converse,shoes/shoes13.jpg,5,11,0,0,0,0,4,3,1,0,0,1,1,5,Woven Leggings,Woven_Leggings/img_00000044.jpg,6,3,6,3,3,4,3,3,1,0,0,1,1,3
179,Tartan Plaid Blouse,Tartan_Plaid_Blouse/img_00000015.jpg,1,1,7,1,3,1,3,3,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paneled Faux Leather Bomber Jacket,Paneled_Faux_Leather_Bomber_Jacket/img_00000016.jpg,3,3,6,1,3,1,3,3,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bototos,shoes/shoes4.jpg,5,4,6,0,0,0,4,1,1,1,1,0,0,4,Bleached Skinny Jeans,Bleached_Skinny_Jeans/img_00000045.jpg,6,8,1,3,3,4,1,3,0,0,0,1,0,3
180,Classic Heathered Knit Top,Classic_Heathered_Knit_Top/img_00000038.jpg,1,7,6,1,3,1,3,2,1,0,1,0,0,4,Abstract Geo Cardigan,Abstract_Geo_Cardigan/img_00000009.jpg,2,2,6,1,3,4,1,3,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sandalias,shoes/new_shoes5.jpg,5,5,0,0,0,0,4,1,0,0,0,1,1,2,Cuffed High-Waist Shorts,Cuffed_High-Waist_Shorts/img_00000056.jpg,6,4,6,3,3,4,1,1,0,0,0,0,1,4
181,Sheer Back Tee,Sheer_Back_Tee/img_00000030.jpg,1,6,6,2,3,1,3,3,0,0,0,1,1,2,Cuffed Knit Blazer,Cuffed_Knit_Blazer/img_00000016.jpg,2,1,6,1,3,2,6,3,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botas de agua,shoes/shoes3.jpg,5,3,6,0,0,0,0,2,1,1,0,0,0,3,Floral Print Culottes,Floral_Print_Culottes/img_00000018.jpg,6,12,1,3,3,4,3,2,0,0,0,0,1,3
182,Cuffed-Sleeve Pocket Tee,Cuffed-Sleeve_Pocket_Tee/img_00000016.jpg,1,6,6,2,3,1,3,3,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Striped Athletic Jacket,Striped_Athletic_Jacket/img_00000026.jpg,3,3,6,1,3,1,3,3,1,0,0,1,0,4,Gorro estilo safari,hats/hat3.jpg,4,3,6,0,0,0,0,2,0,0,0,0,1,2,Botas de agua,shoes/shoes3.jpg,5,3,6,0,0,0,0,2,1,1,0,0,0,3,Tile Print Pencil Skirt,Tile_Print_Pencil_Skirt/img_00000011.jpg,6,2,7,3,3,4,3,3,0,0,0,1,0,1
183,Mock Neck Tee,Mock_Neck_Tee/img_00000053.jpg,1,6,6,3,3,1,3,3,0,0,0,1,1,4,Boxy Buttoned Blazer,Boxy_Buttoned_Blazer/img_00000089.jpg,2,1,6,1,3,1,6,3,1,0,0,0,0,3,Hooded Asymmetrical Longline Jacket,Hooded_Asymmetrical_Longline_Jacket/img_00000018.jpg,3,3,6,1,3,1,3,3,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sneakers,shoes/shoes1.jpg,5,1,6,0,0,0,4,3,1,0,1,1,1,5,Striped A-Line Skirt,Striped_A-Line_Skirt/img_00000048.jpg,6,2,3,3,3,4,3,3,0,0,0,1,1,4
184,Paisley Floral Print Blouse,Paisley_Floral_Print_Blouse/img_00000086.jpg,1,1,1,2,3,2,3,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scuba Knit Peplum Jacket,Scuba_Knit_Peplum_Jacket/img_00000003.jpg,3,3,6,1,3,2,3,3,1,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mocasines,shoes/shoes12.jpg,5,10,0,0,0,0,4,3,1,0,0,1,1,2,Zippered Denim Joggers,Zippered_Denim_Joggers/img_00000047.jpg,6,10,6,3,3,4,1,3,1,1,1,1,1,1
185,Faded Boxy Tee,Faded_Boxy_Tee/img_00000022.jpg,1,6,6,2,3,2,3,3,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flower Power Travel Poncho,Flower_Power_Travel_Poncho/img_00000003.jpg,3,6,6,1,3,4,3,2,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sneakers,shoes/shoes1.jpg,5,1,6,0,0,0,4,3,1,0,1,1,1,5,Ribbed Mini Skirt,Ribbed_Mini_Skirt/img_00000055.jpg,6,2,6,3,3,4,3,1,0,0,1,1,1,4
186,Heathered Knit Tank,Heathered_Knit_Tank/img_00000031.jpg,1,5,6,3,3,4,3,3,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quilted Moto Jacket,Quilted_Moto_Jacket/img_00000032.jpg,3,3,6,1,3,2,3,3,1,1,1,0,0,5,Sombrero bucket,hats/hat4.jpg,4,2,7,0,0,0,0,2,0,0,0,1,1,4,Botas de agua,shoes/shoes3.jpg,5,3,6,0,0,0,0,2,1,1,0,0,0,3,Acid Wash Distressed Jeans,Acid_Wash_Distressed_Jeans/img_00000012.jpg,6,8,1,3,3,4,1,1,0,0,0,1,1,1
188,Rad Graphic Tee,Rad_Graphic_Tee/img_00000005.jpg,1,6,6,3,3,1,3,3,0,0,0,1,1,3,Two-Button Blazer,Two-Button_Blazer/img_00000126.jpg,2,1,6,1,3,2,3,3,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gorro Invierno,hats/hat6.jpg,4,5,0,0,0,0,6,1,1,1,0,0,0,4,sneakers,shoes/shoes1.jpg,5,1,6,0,0,0,4,3,1,0,1,1,1,5,Topstitched Jodhpurs,Topstitched_Jodhpurs/img_00000020.jpg,6,14,6,3,3,4,3,1,0,0,0,1,1,2
189,Side-Slit Tee,Side-Slit_Tee/img_00000039.jpg,1,6,6,2,3,1,3,3,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zapatos de trekking,shoes/shoes7.jpg,5,7,6,0,0,0,0,1,1,0,0,1,1,3,Varsity-Striped Cutoff Sweatshorts,Varsity-Striped_Cutoff_Sweatshorts/img_00000023.jpg,6,7,6,3,3,4,3,3,0,0,0,1,1,5
190,Cuffed Raglan Tee,Cuffed_Raglan_Tee/img_00000044.jpg,1,6,6,2,3,1,3,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hooded Leaf Print Utility Jacket,Hooded_Leaf_Print_Utility_Jacket/img_00000041.jpg,3,3,1,1,3,2,3,3,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sandalias,shoes/new_shoes5.jpg,5,5,0,0,0,0,4,1,0,0,0,1,1,2,Geo Tribal Print A-Line Skirt,Geo_Tribal_Print_A-Line_Skirt/img_00000035.jpg,6,2,2,3,3,4,2,3,0,0,0,1,1,2
193,LA Graphic Muscle Tee,LA_Graphic_Muscle_Tee/img_00000031.jpg,1,6,2,1,3,1,3,3,1,1,1,1,0,4,Leopard Print Longline Cardigan,Leopard_Print_Longline_Cardigan/img_00000065.jpg,2,2,2,1,3,2,6,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zapatillas de deporte,shoes/shoes9.jpg,5,8,6,0,0,0,0,1,1,0,0,1,1,3,Acid Wash Denim Joggers,Acid_Wash_Denim_Joggers/img_00000047.jpg,6,10,1,3,3,4,1,3,1,1,1,1,1,5
194,Stretch Knit Tank,Stretch_Knit_Tank/img_00000009.jpg,1,5,6,3,3,4,3,3,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Converse,shoes/shoes13.jpg,5,11,0,0,0,0,4,3,1,0,0,1,1,5,Distressed Denim Mini Skirt,Distressed_Denim_Mini_Skirt/img_00000059.jpg,6,2,6,3,3,4,1,1,0,0,0,0,1,5
195,Love Yourself Muscle Tee,Love_Yourself_Muscle_Tee/img_00000005.jpg,1,6,6,3,3,4,3,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crochet,hats/hat7.jpg,4,6,0,0,0,0,6,1,1,1,0,0,0,4,Sandalias,shoes/new_shoes5.jpg,5,5,0,0,0,0,4,1,0,0,0,1,1,2,Polka Dot-Pocket Cutoffs,Polka_Dot-Pocket_Cutoffs/img_00000021.jpg,6,1,2,1,3,2,2,3,0,0,0,1,0,4
196,Semi-Sheer Scoop-Neck Tee,Semi-Sheer_Scoop-Neck_Tee/img_00000019.jpg,1,6,6,2,3,1,3,3,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Faux Leather Cutout Jacket,Faux_Leather_Cutout_Jacket/img_00000026.jpg,3,3,6,2,3,1,4,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botas de agua,shoes/shoes3.jpg,5,3,6,0,0,0,0,2,1,1,0,0,0,3,Embroidered Mini Skirt,Embroidered_Mini_Skirt/img_00000030.jpg,6,2,6,3,3,4,4,3,0,0,0,1,1,5
197,Time To Shine Tee,Time_To_Shine_Tee/img_00000022.jpg,1,6,2,3,3,1,3,3,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hooded Asymmetrical Longline Jacket,Hooded_Asymmetrical_Longline_Jacket/img_00000017.jpg,3,3,6,1,3,2,3,3,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zapatos de trekking,shoes/shoes7.jpg,5,7,6,0,0,0,0,1,1,0,0,1,1,3,Pleated Maxi Skirt,Pleated_Maxi_Skirt/img_00000056.jpg,6,2,5,3,3,4,2,2,0,0,0,1,1,4
199,Slub-Knit V-Back Tee,Slub-Knit_V-Back_Tee/img_00000004.jpg,1,6,1,1,3,2,3,2,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jockey reggaeton,hats/hat12.jpg,4,10,0,0,0,0,0,1,1,0,0,1,1,2,Botas de agua,shoes/shoes3.jpg,5,3,6,0,0,0,0,2,1,1,0,0,0,3,Zippered Knit Leggings,Zippered_Knit_Leggings/img_00000039.jpg,6,3,1,3,3,4,3,3,1,1,0,1,1,1
200,Metallic Knit Tee,Metallic_Knit_Tee/img_00000042.jpg,1,6,2,2,3,1,3,3,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zapatos formales,shoes/new_shoes11.jpg,5,9,0,0,0,0,4,0,1,0,0,1,1,3,Pleated Culottes,Pleated_Culottes/img_00000066.jpg,6,12,5,3,3,4,3,3,0,0,0,1,1,5
201,Classic Dolman Top,Classic_Dolman_Top/img_00000060.jpg,1,7,6,1,3,1,3,3,0,0,0,1,1,2,Collarless One-Button Blazer,Collarless_One-Button_Blazer/img_00000020.jpg,2,1,6,1,3,2,3,3,1,0,0,1,0,4,Faux Fur Bomber Jacket,Faux_Fur_Bomber_Jacket/img_00000012.jpg,3,3,6,1,3,2,3,3,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mocasines,shoes/shoes12.jpg,5,10,0,0,0,0,4,3,1,0,0,1,1,2,Distressed Straight-Leg Jeans,Distressed_Straight-Leg_Jeans/img_00000029.jpg,6,8,6,3,3,4,1,3,1,0,0,1,1,4
202,Good Girls Muscle Tee,Good_Girls_Muscle_Tee/img_00000048.jpg,1,6,2,3,3,1,3,3,0,0,0,1,1,4,Everday V-Neck Cardigan,Everday_V-Neck_Cardigan/img_00000001.jpg,2,2,6,1,3,2,6,3,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sandalias,shoes/new_shoes5.jpg,5,5,0,0,0,0,4,1,0,0,0,1,1,2,Heathered Drawstring Shorts,Heathered_Drawstring_Shorts/img_00000034.jpg,6,4,6,3,3,4,3,3,0,0,0,0,1,4
204,Ornate-Crocheted Boat Neck Blouse,Ornate-Crocheted_Boat_Neck_Blouse/img_00000014.jpg,1,1,6,2,3,1,3,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Embroidered Lace-Up Poncho,Embroidered_Lace-Up_Poncho/img_00000030.jpg,3,6,4,1,3,2,2,3,1,0,0,0,0,3,Gorro Invierno,hats/hat6.jpg,4,5,0,0,0,0,6,1,1,1,0,0,0,4,Mocasines,shoes/shoes12.jpg,5,10,0,0,0,0,4,3,1,0,0,1,1,2,Must-Have Slit Maxi Skirt,Must-Have_Slit_Maxi_Skirt/img_00000006.jpg,6,2,6,3,3,4,3,1,0,0,0,0,1,3
205,Striped Linen Flawless Tee,Striped_Linen_Flawless_Tee/img_00000016.jpg,1,6,6,2,3,1,3,3,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Faux Fur Trimmed Moto Jacket,Faux_Fur_Trimmed_Moto_Jacket/img_00000078.jpg,3,3,6,1,3,1,5,3,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zapatillas de deporte,shoes/shoes8.jpg,5,8,6,0,0,0,0,1,1,0,0,1,1,3,Cuffed Denim Cutoffs,Cuffed_Denim_Cutoffs/img_00000038.jpg,6,1,6,3,3,4,1,3,0,0,0,1,1,4
206,Cami Peplum Top,Cami_Peplum_Top/img_00000002.jpg,1,7,7,3,3,4,3,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vans,shoes/shoes2.jpg,5,2,6,0,0,0,4,3,1,0,1,1,1,5,Quilted Sweatpants,Quilted_Sweatpants/img_00000036.jpg,6,6,6,3,3,4,3,3,1,0,1,1,0,2
207,EPTM. Longline Mesh Tee,EPTM._Longline_Mesh_Tee/img_00000021.jpg,1,6,6,1,3,2,3,3,1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botas de agua,shoes/shoes3.jpg,5,3,6,0,0,0,0,2,1,1,0,0,0,3,Mid-Rise - Distressed Skinny Jeans,Mid-Rise_-_Distressed_Skinny_Jeans/img_00000020.jpg,6,8,6,3,3,4,1,1,1,0,1,0,0,4
208,Stretch Knit Tank,Stretch_Knit_Tank/img_00000044.jpg,1,5,2,3,3,4,3,3,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Open-Front Collared Jacket,Open-Front_Collared_Jacket/img_00000034.jpg,3,3,6,1,3,2,4,3,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hawaianas,shoes/shoes6.jpg,5,6,6,0,0,0,0,2,0,0,1,1,1,3,Metallic Tribal-Inspired Shorts,Metallic_Tribal-Inspired_Shorts/img_00000009.jpg,6,4,2,3,3,4,3,3,0,0,1,1,1,4
209,SpongeBob V-Neck Tee,SpongeBob_V-Neck_Tee/img_00000049.jpg,1,6,2,1,3,1,3,3,0,0,0,1,1,5,Tie-Dye Longline Cardigan,Tie-Dye_Longline_Cardigan/img_00000041.jpg,2,2,3,1,3,4,2,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beany,hats/hat11.jpg,4,9,6,0,0,0,6,1,1,1,0,0,0,4,Bototos,shoes/shoes4.jpg,5,4,6,0,0,0,4,1,1,1,1,0,0,4,Abstract Print Workout Leggings,Abstract_Print_Workout_Leggings/img_00000024.jpg,6,3,2,3,3,4,3,1,1,0,1,1,1,5
211,Abstract-Watercolor Print Blouse,Abstract-Watercolor_Print_Blouse/img_00000030.jpg,1,1,1,3,3,1,3,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zip-Up Puffer Jacket,Zip-Up_Puffer_Jacket/img_00000056.jpg,3,3,6,1,3,1,3,3,1,1,0,0,0,5,Crochet,hats/hat7.jpg,4,6,0,0,0,0,6,1,1,1,0,0,0,4,Botas de agua,shoes/shoes3.jpg,5,3,6,0,0,0,0,2,1,1,0,0,0,3,Zippered Satin-Trimmed Sweatpants,Zippered_Satin-Trimmed_Sweatpants/img_00000014.jpg,6,6,6,3,3,4,3,3,1,0,0,1,0,3
212,Layered Landscape Print Tee,Layered_Landscape_Print_Tee/img_00000028.jpg,1,6,6,2,3,2,3,3,0,0,0,0,1,2,West Coast Mesh Jersey,West_Coast_Mesh_Jersey/img_00000027.jpg,2,4,2,1,3,1,3,3,1,0,0,1,0,3,Scuba Knit Bomber Jacket,Scuba_Knit_Bomber_Jacket/img_00000021.jpg,3,3,6,3,3,2,3,3,0,0,1,1,0,2,Jockey,hats/hat10.jpg,4,8,0,0,0,0,5,1,0,0,0,1,1,4,Zapatillas de deporte,shoes/shoes8.jpg,5,8,6,0,0,0,0,1,1,0,0,1,1,3,Zip Pocket Sweatpants,Zip_Pocket_Sweatpants/img_00000028.jpg,6,6,6,3,3,4,3,3,0,0,0,1,0,1
213,Ornate Print Tank,Ornate_Print_Tank/img_00000006.jpg,1,5,2,3,3,4,3,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Loop Knit Jacket,Loop_Knit_Jacket/img_00000048.jpg,3,3,6,1,3,4,5,3,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vans,shoes/shoes2.jpg,5,2,6,0,0,0,4,3,1,0,1,1,1,5,Mesh Tuxedo-Striped Sweatpants,Mesh_Tuxedo-Striped_Sweatpants/img_00000046.jpg,6,6,6,3,3,4,3,3,1,1,1,1,1,5
214,Pintucked Chiffon Blouse,Pintucked_Chiffon_Blouse/img_00000031.jpg,1,1,6,2,3,1,3,3,0,0,0,1,1,4,Notched Open-Front Textured Blazer,Notched_Open-Front_Textured_Blazer/img_00000057.jpg,2,1,6,1,3,2,3,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beany,hats/hat11.jpg,4,9,6,0,0,0,6,1,1,1,0,0,0,4,Mocasines,shoes/shoes12.jpg,5,10,0,0,0,0,4,3,1,0,0,1,1,2,Garment Dyed Chino Joggers,Garment_Dyed_Chino_Joggers/img_00000029.jpg,6,10,6,3,3,4,3,3,1,1,1,1,1,4
215,Distressed Muscle Tee,Distressed_Muscle_Tee/img_00000009.jpg,1,6,6,3,3,1,3,3,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crochet,hats/hat7.jpg,4,6,0,0,0,0,6,1,1,1,0,0,0,4,Vans,shoes/shoes2.jpg,5,2,6,0,0,0,4,3,1,0,1,1,1,5,Crochet-Trimmed Shorts,Crochet-Trimmed_Shorts/img_00000021.jpg,6,4,6,3,3,4,3,3,0,0,0,1,1,4
