name,img_route,cloth_category,cloth_subcategory,patron,sleeve,skirt,neckline,material,fit,isCold,isRainy,isWet,isTempered,isHot,nota
4531,Striped Tribal Print Blouse,Striped_Tribal_Print_Blouse/img_00000107.jpg,1,1,2,2,3,1,3,3,0,0,0,1,1,4
4556,Reason Zip Pocket Joggers,Reason_Zip_Pocket_Joggers/img_00000020.jpg,6,10,6,3,3,4,3,3,0,0,1,0,0,2
4560,Chic 95 Tee,Chic_95_Tee/img_00000032.jpg,1,6,2,3,3,1,3,3,0,0,0,0,1,1
4580,Crisp Woven Suit Jacket,Crisp_Woven_Suit_Jacket/img_00000049.jpg,3,3,6,1,3,1,3,2,1,0,1,0,0,5
4581,Drop-Crotch Drawstring Sweatshorts,Drop-Crotch_Drawstring_Sweatshorts/img_00000019.jpg,6,7,6,3,3,4,3,3,0,0,0,1,1,2
4585,Contrast Mesh Pencil Skirt,Contrast_Mesh_Pencil_Skirt/img_00000002.jpg,6,2,6,3,3,4,2,3,0,0,0,0,1,1
4591,High Waist- Quilted Moto Jeggings,High_Waist-_Quilted_Moto_Jeggings/img_00000017.jpg,6,9,1,3,3,4,3,3,0,0,0,1,1,4
4596,Striped Drapey Tee,Striped_Drapey_Tee/img_00000034.jpg,1,6,1,2,3,1,3,3,0,0,0,1,0,3
4597,Open-Front Shawl Cardigan,Open-Front_Shawl_Cardigan/img_00000037.jpg,2,2,3,1,3,2,6,3,1,0,0,0,0,2
4601,Drapey Trench Jacket,Drapey_Trench_Jacket/img_00000073.jpg,3,3,6,1,3,2,3,3,1,1,0,0,0,2
4602,Floral Print Crepe Skirt,Floral_Print_Crepe_Skirt/img_00000011.jpg,6,2,1,3,3,4,3,3,0,0,0,0,1,2
4616,Heathered Zip-Up Hoodie,Heathered_Zip-Up_Hoodie/img_00000053.jpg,2,3,6,1,3,1,3,3,1,0,0,1,0,4
4618,Faux Leather Biker Jacket,Faux_Leather_Biker_Jacket/img_00000075.jpg,3,3,6,1,3,2,4,3,0,0,0,1,0,4
4631,Basic Tank,Basic_Tank/img_00000056.jpg,1,5,6,3,3,1,3,1,0,0,0,0,1,5
4632,Embroidered Mini Skirt,Embroidered_Mini_Skirt/img_00000030.jpg,6,2,6,3,3,4,4,3,0,0,0,1,1,5
4641,Tribal Patterned Cardigan,Tribal_Patterned_Cardigan/img_00000012.jpg,2,2,2,1,3,2,6,3,1,0,0,0,0,4
4653,Pleated Woven Joggers,Pleated_Woven_Joggers/img_00000017.jpg,6,10,6,3,3,4,3,3,1,0,0,1,1,4
4655,Mixed Knit Sweater,Mixed_Knit_Sweater/img_00000014.jpg,2,5,2,1,3,1,6,3,1,0,0,0,0,1
4656,West Coast Mesh Jersey,West_Coast_Mesh_Jersey/img_00000027.jpg,2,4,2,1,3,1,3,3,1,0,0,1,0,3
4663,Colorblock Capri Leggings,Colorblock_Capri_Leggings/img_00000029.jpg,6,3,6,3,3,4,3,1,0,0,0,0,1,4
4665,Cutout Workout Leggings,Cutout_Workout_Leggings/img_00000040.jpg,6,3,6,3,3,4,3,1,1,0,1,1,1,1
4674,Striped Midi Skirt,Striped_Midi_Skirt/img_00000022.jpg,6,2,3,3,3,4,3,3,0,0,0,1,1,4
4676,Dopest Tropical Graphic Tank,Dopest_Tropical_Graphic_Tank/img_00000016.jpg,1,5,2,3,3,4,3,3,0,0,0,1,1,3
4710,Cuffed Chino Shorts,Cuffed_Chino_Shorts/img_00000010.jpg,6,4,6,3,3,4,3,3,0,0,0,0,1,3
4711,Faux Leather Shorts,Faux_Leather_Shorts/img_00000026.jpg,6,4,6,3,3,4,4,1,0,0,0,1,1,3
4720,Zippered Satin-Trimmed Sweatpants,Zippered_Satin-Trimmed_Sweatpants/img_00000001.jpg,6,6,6,3,3,4,3,3,0,0,0,1,1,2
4727,Speckled Zip-Pocket Sweatshorts,Speckled_Zip-Pocket_Sweatshorts/img_00000003.jpg,6,7,3,3,3,4,3,3,0,0,1,1,1,4
4728,Striped Ringer Tee,Striped_Ringer_Tee/img_00000037.jpg,1,6,1,2,3,1,3,3,0,0,0,1,1,1
4732,Forget-Me-Not Sweater,Forget-Me-Not_Sweater/img_00000014.jpg,2,5,2,1,3,1,5,3,0,0,0,1,1,4
4737,Striped Knit Drawstring Hoodie,Striped_Knit_Drawstring_Hoodie/img_00000027.jpg,2,3,3,1,3,2,3,3,1,0,0,0,0,3
4743,Crepe Pencil Skirt,Crepe_Pencil_Skirt/img_00000033.jpg,6,2,6,3,3,4,3,1,0,0,0,1,1,5
4747,Curved Hem Raglan Tee,Curved_Hem_Raglan_Tee/img_00000021.jpg,1,6,6,2,3,1,3,3,0,0,0,1,1,4
4754,Ribbed Mini Skirt,Ribbed_Mini_Skirt/img_00000056.jpg,6,2,6,3,3,4,3,3,0,0,0,1,1,3
4758,Oversized Fuzzy Knit Cardigan,Oversized_Fuzzy_Knit_Cardigan/img_00000006.jpg,2,2,6,1,3,2,6,3,1,0,0,0,0,4
4768,Boxy Pintucked Top,Boxy_Pintucked_Top/img_00000010.jpg,1,7,6,2,3,2,3,3,0,0,0,1,0,4
4778,Low-Rise - Distressed Skinny Jeans,Low-Rise_-_Distressed_Skinny_Jeans/img_00000028.jpg,6,8,6,3,3,4,1,3,1,1,1,1,0,5
4814,Tweed Boyfriend Blazer,Tweed_Boyfriend_Blazer/img_00000118.jpg,2,1,6,1,3,2,3,3,0,0,1,0,0,4
4829,Hooded Marled Cardigan,Hooded_Marled_Cardigan/img_00000005.jpg,2,2,1,1,3,1,3,3,1,1,1,1,0,2
4842,Faux Shearling Bomber Jacket,Faux_Shearling_Bomber_Jacket/img_00000008.jpg,3,3,6,1,3,1,4,3,1,1,1,1,0,3
4848,Buttoned High-Waisted Skinny Jeans,Buttoned_High-Waisted_Skinny_Jeans/img_00000074.jpg,6,8,6,3,3,4,1,1,1,0,1,1,1,4
4853,Medium Wash - Straight-Leg Jeans,Medium_Wash_-_Straight-Leg_Jeans/img_00000014.jpg,6,8,6,3,3,4,1,1,1,1,1,1,1,4
4857,Metallic Open-Knit Cardigan,Metallic_Open-Knit_Cardigan/img_00000017.jpg,2,2,6,1,3,1,6,3,1,0,0,0,0,1
4870,Cable Knit Dolman Cardigan,Cable_Knit_Dolman_Cardigan/img_00000046.jpg,2,2,6,1,3,4,6,3,0,0,0,1,0,3
4873,Embroidered Southwestern Pattern Jacket,Embroidered_Southwestern_Pattern_Jacket/img_00000014.jpg,3,3,2,1,3,2,3,3,0,0,1,0,0,1
4884,Ribbed Racerback Tank,Ribbed_Racerback_Tank/img_00000017.jpg,1,5,6,3,3,1,3,3,0,0,0,1,1,4
4885,French Terry Hoodie,French_Terry_Hoodie/img_00000061.jpg,2,3,2,1,3,1,3,3,1,0,0,0,0,3
4889,Burnout Crew Neck Tee,Burnout_Crew_Neck_Tee/img_00000068.jpg,1,6,6,2,3,1,3,3,0,0,0,1,1,5
4890,Classic Leggings,Classic_Leggings/img_00000047.jpg,6,3,6,3,3,4,3,1,1,0,0,1,0,4
4891,Forget-Me-Not Sweater,Forget-Me-Not_Sweater/img_00000026.jpg,2,5,6,1,3,2,3,3,0,0,0,1,0,4
4898,Collarless V-Neck Blouse,Collarless_V-Neck_Blouse/img_00000078.jpg,1,1,6,3,3,2,3,3,0,0,0,1,1,4
4904,Longline Crepe Jacket,Longline_Crepe_Jacket/img_00000030.jpg,3,3,6,2,3,2,3,3,1,1,1,0,0,5
4906,Polka Dot Baseball Tee,Polka_Dot_Baseball_Tee/img_00000006.jpg,1,6,2,1,3,1,3,3,1,0,0,1,1,3
4907,Touch Of Glam Cardigan,Touch_Of_Glam_Cardigan/img_00000049.jpg,2,2,2,2,3,1,3,3,0,0,0,1,0,3
4911,Quilted Bomber Jacket,Quilted_Bomber_Jacket/img_00000053.jpg,3,3,6,1,3,1,4,3,0,0,0,1,0,4
4920,Longline Raw-Cut Hoodie,Longline_Raw-Cut_Hoodie/img_00000021.jpg,2,3,6,1,3,1,3,3,1,0,0,0,0,1
4931,Tasseled Neckline Stripe Blouse,Tasseled_Neckline_Stripe_Blouse/img_00000055.jpg,1,1,1,1,3,1,2,2,0,0,0,1,1,2
4937,Ripped Denim Shorts,Ripped_Denim_Shorts/img_00000006.jpg,6,4,6,3,3,4,1,3,0,0,0,1,1,4
4952,Collared Drawstring Jacket,Collared_Drawstring_Jacket/img_00000034.jpg,3,3,6,1,3,2,3,3,1,1,0,0,0,5
4963,Embroidered Racerback Tank,Embroidered_Racerback_Tank/img_00000033.jpg,1,5,4,3,3,4,3,3,0,0,0,0,1,4
4965,Faux Shearling Aviator Jacket,Faux_Shearling_Aviator_Jacket/img_00000007.jpg,3,3,6,1,3,2,4,3,1,1,1,0,0,5
4976,Belted Chino Shorts,Belted_Chino_Shorts/img_00000038.jpg,6,4,6,3,3,4,3,3,0,0,0,1,1,3
4980,Eyelash Lace Trim Blouse,Eyelash_Lace_Trim_Blouse/img_00000033.jpg,1,1,6,2,3,1,3,3,0,0,0,1,1,4
4982,Paisley Print Leggings,Paisley_Print_Leggings/img_00000010.jpg,6,3,1,3,3,4,3,1,0,0,0,1,0,2
4985,Leopard Print Longline Cardigan,Leopard_Print_Longline_Cardigan/img_00000014.jpg,2,2,2,1,3,4,2,3,0,0,0,1,0,1
4994,Geo Elephant Print Tee,Geo_Elephant_Print_Tee/img_00000011.jpg,1,6,6,1,3,1,3,3,1,0,0,0,0,1
5000,Crochet Crepe Woven Shorts,Crochet_Crepe_Woven_Shorts/img_00000025.jpg,6,4,6,3,3,4,3,3,0,0,0,1,1,5
5001,Classic Cropped Sweater,Classic_Cropped_Sweater/img_00000040.jpg,2,5,6,1,3,1,3,1,0,0,0,1,0,5
5007,Athletic-Striped Racerback Crop Top,Athletic-Striped_Racerback_Crop_Top/img_00000045.jpg,1,7,6,3,3,1,2,1,0,0,0,0,1,5
5008,Daisy Print Shorts,Daisy_Print_Shorts/img_00000010.jpg,6,4,1,3,3,4,1,3,0,0,0,1,1,2
5012,Classic Woven Blazer,Classic_Woven_Blazer/img_00000056.jpg,2,1,6,1,3,2,3,3,1,0,0,1,0,4
5026,Crepe Henley Blouse,Crepe_Henley_Blouse/img_00000035.jpg,1,1,6,1,3,2,3,3,0,0,0,1,0,3
5034,Chiffon Curved Hem Blouse,Chiffon_Curved_Hem_Blouse/img_00000082.jpg,1,1,6,1,3,2,2,2,0,0,0,1,1,4
5050,Drapey Trench Jacket,Drapey_Trench_Jacket/img_00000022.jpg,3,3,6,1,3,2,3,3,1,1,1,1,0,5
5060,Rose Print Woven Cardigan,Rose_Print_Woven_Cardigan/img_00000023.jpg,2,2,6,1,3,4,3,3,0,0,0,1,1,4
5064,Lace Swing Tank,Lace_Swing_Tank/img_00000058.jpg,1,5,4,3,3,4,3,2,0,0,0,1,1,4
5075,Chiffon Plaid Blouse,Chiffon_Plaid_Blouse/img_00000092.jpg,1,1,7,1,3,2,2,2,0,0,0,1,0,3
5078,Geo-Printed Flat Front Shorts,Geo-Printed_Flat_Front_Shorts/img_00000030.jpg,6,4,6,3,3,4,1,1,0,0,0,1,1,5
5087,Floral A-Line Midi Skirt,Floral_A-Line_Midi_Skirt/img_00000004.jpg,6,2,1,3,3,4,3,3,0,0,0,1,1,1
5093,Fitted Ribbed-Knit Sweater,Fitted_Ribbed-Knit_Sweater/img_00000038.jpg,2,5,6,1,3,1,6,1,0,0,1,1,1,5
5094,Textured Stripe Knit Skirt,Textured_Stripe_Knit_Skirt/img_00000008.jpg,6,2,3,3,3,4,6,1,0,0,0,1,0,4
5101,Windowpane Print Blouse,Windowpane_Print_Blouse/img_00000068.jpg,1,1,7,1,3,1,3,3,0,0,1,0,0,1
5102,Double-Breasted Drawstring Parka,Double-Breasted_Drawstring_Parka/img_00000080.jpg,3,4,6,1,3,2,3,3,0,0,0,1,0,5
5104,Plaid Fringe Poncho,Plaid_Fringe_Poncho/img_00000010.jpg,3,6,7,1,3,4,6,2,1,0,0,1,0,2
5106,Zip-Up Puffer Jacket,Zip-Up_Puffer_Jacket/img_00000037.jpg,3,3,6,1,3,1,3,3,1,1,0,0,0,1
5122,Faux Shearling Bomber Jacket,Faux_Shearling_Bomber_Jacket/img_00000011.jpg,3,3,6,1,3,1,4,3,1,0,0,1,0,3
5123,Drawstring Utility Jacket,Drawstring_Utility_Jacket/img_00000045.jpg,3,3,6,3,3,2,3,3,0,0,0,1,1,2
5135,Ornate Floral Print Jacket,Ornate_Floral_Print_Jacket/img_00000005.jpg,3,3,1,1,3,2,2,3,0,0,0,1,1,4
5137,Distressed Denim Jacket,Distressed_Denim_Jacket/img_00000038.jpg,3,3,6,1,3,1,1,3,1,1,0,1,0,4
5145,Floral Print Shorts,Floral_Print_Shorts/img_00000030.jpg,6,4,1,3,3,4,3,3,0,0,1,1,1,2
5148,Dotted Bow Blouse,Dotted_Bow_Blouse/img_00000068.jpg,1,1,2,2,3,2,3,3,0,0,0,1,1,1
5191,Rose Print Mini Skirt,Rose_Print_Mini_Skirt/img_00000012.jpg,6,2,1,3,3,4,3,3,0,0,1,0,0,1
5198,Mandala Print Tee,Mandala_Print_Tee/img_00000021.jpg,1,6,1,2,3,1,3,3,0,0,0,0,1,3
5207,Zippered-Ankle Skinny Jeans,Zippered-Ankle_Skinny_Jeans/img_00000031.jpg,6,8,6,3,3,4,1,1,0,1,1,1,1,4
5211,Zippered Faux Leather Mini Skirt,Zippered_Faux_Leather_Mini_Skirt/img_00000026.jpg,6,2,6,3,3,4,3,3,0,0,0,1,1,4
5221,High-Waisted Rose Print Shorts,High-Waisted_Rose_Print_Shorts/img_00000059.jpg,6,4,6,3,3,4,3,1,1,0,1,1,1,2
5235,Life in Progress Hooded Denim Jacket,Life_in_Progress_Hooded_Denim_Jacket/img_00000005.jpg,3,3,6,1,3,1,1,3,0,0,1,0,0,1
5236,Quilted Faux Leather Jacket,Quilted_Faux_Leather_Jacket/img_00000013.jpg,3,3,6,1,3,1,4,3,1,0,0,0,0,1
5243,Classic Knit Sweater,Classic_Knit_Sweater/img_00000005.jpg,2,5,6,1,3,1,6,3,0,0,0,1,0,3
5266,Faux Leather Biker Jacket,Faux_Leather_Biker_Jacket/img_00000029.jpg,3,3,6,1,3,2,4,3,1,1,0,1,0,5
5280,Classic Tunic Sweater,Classic_Tunic_Sweater/img_00000031.jpg,2,5,6,1,3,1,6,3,1,0,0,1,0,4
5281,Southwestern-Inspired Knit Leggings,Southwestern-Inspired_Knit_Leggings/img_00000016.jpg,6,3,2,3,3,4,3,1,0,0,0,1,1,1
5284,Double-Breasted Blazer,Double-Breasted_Blazer/img_00000012.jpg,2,1,6,1,3,2,3,3,1,0,0,0,0,2
5297,Colorblocked Track Jacket,Colorblocked_Track_Jacket/img_00000004.jpg,3,3,2,1,3,2,3,3,1,0,1,1,0,3
5303,Distressed Cropped Jeans,Distressed_Cropped_Jeans/img_00000076.jpg,6,8,6,3,3,4,1,1,1,0,1,1,1,1
5310,Reason Statue of Liberty Mesh Tank,Reason_Statue_of_Liberty_Mesh_Tank/img_00000023.jpg,1,5,6,1,3,1,3,3,0,0,0,1,1,3
5312,Paisley Print Culottes,Paisley_Print_Culottes/img_00000044.jpg,6,12,2,3,3,4,3,3,0,0,0,0,1,4
5323,Burnout Racerback Tank,Burnout_Racerback_Tank/img_00000083.jpg,1,5,2,3,3,4,2,1,0,0,0,1,1,3
5328,Faded Skinny Jeans,Faded_Skinny_Jeans/img_00000064.jpg,6,8,6,3,3,4,1,1,1,1,1,1,1,5
5330,Stretch-Knit Racerback Tank,Stretch-Knit_Racerback_Tank/img_00000032.jpg,1,5,6,3,3,4,3,1,0,0,0,1,1,4
5338,Baroque Print Woven Joggers,Baroque_Print_Woven_Joggers/img_00000016.jpg,6,10,1,3,3,4,3,3,1,1,1,1,1,5
5341,Basic Tank,Basic_Tank/img_00000008.jpg,1,5,6,3,3,1,3,1,0,0,0,1,1,2
5342,Long Crew Neck Tee,Long_Crew_Neck_Tee/img_00000026.jpg,1,6,6,1,3,1,3,3,1,0,0,1,0,4
5346,Tribal Print Crepe Shorts,Tribal_Print_Crepe_Shorts/img_00000006.jpg,6,4,2,3,3,4,2,3,0,0,0,1,1,1
5351,Denim Joggers,Denim_Joggers/img_00000011.jpg,6,10,6,3,3,4,1,3,1,0,1,1,1,2
5359,Knife-Pleated Floral Skirt,Knife-Pleated_Floral_Skirt/img_00000026.jpg,6,2,1,3,3,4,2,3,0,0,0,1,1,3
5369,Classic Denim Blazer,Classic_Denim_Blazer/img_00000066.jpg,2,1,6,1,3,1,1,3,1,1,1,1,1,4
5385,Faux Fur Trimmed Moto Jacket,Faux_Fur_Trimmed_Moto_Jacket/img_00000063.jpg,3,3,6,1,3,2,3,3,1,0,0,0,0,1
5386,Faux Leather-Trim Blouse,Faux_Leather-Trim_Blouse/img_00000014.jpg,1,1,6,1,3,2,3,3,0,0,0,1,1,3
5394,Abstract Print Colorblock Top,Abstract_Print_Colorblock_Top/img_00000033.jpg,1,7,1,3,3,1,3,3,0,0,0,1,1,3
5395,Layered Chiffon Blouse,Layered_Chiffon_Blouse/img_00000090.jpg,1,1,6,3,3,4,3,3,0,0,0,1,1,3
5407,Athletic Mesh-Paneled Track Jacket,Athletic_Mesh-Paneled_Track_Jacket/img_00000046.jpg,3,3,6,3,3,4,3,1,0,0,0,0,1,4
5427,Shawl Collar Blazer,Shawl_Collar_Blazer/img_00000068.jpg,2,1,6,1,3,2,3,3,1,0,1,1,0,2
5443,Rad Graphic Tee,Rad_Graphic_Tee/img_00000005.jpg,1,6,6,3,3,1,3,3,0,0,0,1,1,3
5463,Boxy Open Mesh Top,Boxy_Open_Mesh_Top/img_00000038.jpg,1,7,6,2,3,1,2,3,1,0,0,1,1,4
5470,Bell-Sleeved Peasant Top,Bell-Sleeved_Peasant_Top/img_00000010.jpg,1,7,5,1,3,1,2,2,0,0,0,1,1,3
5471,Raglan Pocket Tee,Raglan_Pocket_Tee/img_00000008.jpg,1,6,6,1,3,1,3,3,0,0,0,1,1,3
5472,Married to the Mob MTTM Muscle Tee,Married_to_the_Mob_MTTM_Muscle_Tee/img_00000006.jpg,1,6,6,1,3,2,3,3,0,0,0,1,1,4
5474,Sparkling Marled Knit Sweater,Sparkling_Marled_Knit_Sweater/img_00000035.jpg,2,5,6,1,3,1,6,3,0,0,0,1,0,4
5479,Trimmed Pocket Tank,Trimmed_Pocket_Tank/img_00000022.jpg,1,5,6,1,3,2,3,3,1,0,0,1,0,4
5482,Distressed Denim Cutoffs,Distressed_Denim_Cutoffs/img_00000050.jpg,6,1,6,3,3,4,1,3,0,0,0,0,1,2
5488,Hooded Slub Knit Henley,Hooded_Slub_Knit_Henley/img_00000021.jpg,1,4,6,1,3,1,3,3,1,0,0,0,0,1
5499,Folk Print Linen Skirt,Folk_Print_Linen_Skirt/img_00000046.jpg,6,2,1,3,3,4,3,1,0,0,0,0,1,5
5502,Boxy Texture-Striped Tee,Boxy_Texture-Striped_Tee/img_00000001.jpg,1,6,3,2,3,1,3,2,0,0,1,0,0,1
5504,Striped A-Line Skirt,Striped_A-Line_Skirt/img_00000067.jpg,6,2,3,3,3,4,3,3,0,0,0,1,1,4
5507,LA Longline Baseball Tee,LA_Longline_Baseball_Tee/img_00000016.jpg,1,6,6,2,3,1,3,3,0,0,0,0,1,2
5521,Heathered Colorblock Tee,Heathered_Colorblock_Tee/img_00000012.jpg,1,6,3,2,3,1,3,3,0,0,0,1,1,4
5524,Distressed Slub Knit Tank,Distressed_Slub_Knit_Tank/img_00000012.jpg,1,5,6,3,3,4,3,3,0,0,0,1,1,5
5572,Slit Midi Skirt,Slit_Midi_Skirt/img_00000004.jpg,6,2,6,3,3,4,3,1,0,0,0,1,1,4
5576,Destroyed Pocket Tee,Destroyed_Pocket_Tee/img_00000010.jpg,1,6,3,2,3,1,3,3,0,0,0,1,1,4
5580,High-Waisted Lounge Leggings,High-Waisted_Lounge_Leggings/img_00000027.jpg,6,3,6,3,3,4,3,1,0,0,0,1,0,4
5595,Longline Draped Open-Front Jacket,Longline_Draped_Open-Front_Jacket/img_00000005.jpg,3,3,6,1,3,4,2,3,1,1,1,1,0,5
5608,Embroidered Southwestern Pattern Jacket,Embroidered_Southwestern_Pattern_Jacket/img_00000025.jpg,3,3,2,1,3,4,2,3,0,0,0,1,1,4
5609,Lace-Up Striped Baja Hoodie,Lace-Up_Striped_Baja_Hoodie/img_00000038.jpg,2,3,3,1,3,2,6,3,1,1,0,0,0,3
5614,Longline Raw-Cut Hoodie,Longline_Raw-Cut_Hoodie/img_00000020.jpg,2,3,6,1,3,1,3,3,1,0,0,0,0,3
5615,Keyhole Abstract Print Blouse,Keyhole_Abstract_Print_Blouse/img_00000022.jpg,1,1,1,1,3,2,3,3,0,0,0,1,1,4
5619,Linen Capri Joggers,Linen_Capri_Joggers/img_00000025.jpg,6,10,6,3,3,4,3,3,1,0,0,1,0,2
5620,Slub Knit Cutout Tee,Slub_Knit_Cutout_Tee/img_00000008.jpg,1,6,6,3,3,4,3,3,0,0,0,1,1,1
5637,Drawstring Cargo Capris,Drawstring_Cargo_Capris/img_00000065.jpg,6,13,6,3,3,4,3,3,1,0,0,1,1,3
5639,Longline Side-Slit Blazer,Longline_Side-Slit_Blazer/img_00000071.jpg,2,1,6,3,3,4,3,3,0,0,0,0,1,5
5666,Zippered Bomber Jacket,Zippered_Bomber_Jacket/img_00000040.jpg,3,3,6,1,3,1,3,3,1,0,1,1,0,2
5678,Basic Striped Mini Skirt,Basic_Striped_Mini_Skirt/img_00000047.jpg,6,2,3,3,3,4,3,1,0,0,1,0,0,5
5707,Zippered Faux Leather Mini Skirt,Zippered_Faux_Leather_Mini_Skirt/img_00000052.jpg,6,2,6,3,3,4,4,3,0,0,0,1,1,3
5713,Pintucked Chiffon Blouse,Pintucked_Chiffon_Blouse/img_00000031.jpg,1,1,6,2,3,1,3,3,0,0,0,1,1,4
5716,Lace Paneled Blouse,Lace_Paneled_Blouse/img_00000054.jpg,1,1,6,2,3,1,3,3,0,0,0,0,1,1
5717,Hooded Cotton Canvas Anorak,Hooded_Cotton_Canvas_Anorak/img_00000089.jpg,3,1,6,1,3,1,3,3,0,1,0,1,0,5
5719,Textured Open Front Blazer,Textured_Open_Front_Blazer/img_00000031.jpg,2,1,6,1,3,2,3,3,1,0,0,1,0,1
5724,Southwest Bound Shag Sweater,Southwest_Bound_Shag_Sweater/img_00000021.jpg,2,5,2,1,3,1,6,3,1,1,0,0,0,2
5725,Braided Racerback Athletic Tank,Braided_Racerback_Athletic_Tank/img_00000020.jpg,1,5,6,3,3,1,3,1,0,0,0,0,1,1
5729,Cuffed-Sleeve Striped Tee,Cuffed-Sleeve_Striped_Tee/img_00000019.jpg,1,6,3,1,3,1,3,3,0,0,0,1,1,2
5734,Pleated Culottes,Pleated_Culottes/img_00000066.jpg,6,12,5,3,3,4,3,3,0,0,0,1,1,5
5749,Single-Button Blazer,Single-Button_Blazer/img_00000090.jpg,2,1,6,1,3,2,3,3,1,0,0,1,0,2
5753,Woven Chelsea Collar Blouse,Woven_Chelsea_Collar_Blouse/img_00000092.jpg,1,1,6,1,3,2,3,3,0,0,0,1,1,3
5760,Eyelash Knit Ball Sweater,Eyelash_Knit_Ball_Sweater/img_00000010.jpg,2,5,2,1,3,1,5,3,0,0,0,1,0,3
5764,Pleated Bermuda Shorts,Pleated_Bermuda_Shorts/img_00000068.jpg,6,4,6,3,3,4,4,3,0,0,0,0,1,2
5767,Cowl Neck Sweater,Cowl_Neck_Sweater/img_00000041.jpg,2,5,6,1,3,1,6,3,0,0,0,1,0,4
5769,EPTM. Tribal Print Track Jacket,EPTM._Tribal_Print_Track_Jacket/img_00000010.jpg,3,3,6,3,3,4,3,3,0,0,0,1,1,3
5785,Faux Leather Jersey,Faux_Leather_Jersey/img_00000052.jpg,2,4,6,1,3,2,3,3,1,0,0,1,0,4
5789,Cloud Wash Skinny Jeans,Cloud_Wash_Skinny_Jeans/img_00000020.jpg,6,8,6,3,3,4,1,1,1,0,0,1,0,5
5804,Abstract Print Mesh-Paneled Top,Abstract_Print_Mesh-Paneled_Top/img_00000001.jpg,1,7,2,1,3,1,3,3,1,0,0,1,0,4
5809,Longline Boyfriend Blazer,Longline_Boyfriend_Blazer/img_00000092.jpg,2,1,6,1,3,2,3,3,0,0,0,1,1,3
5810,Lace-Paneled PJ Shorts,Lace-Paneled_PJ_Shorts/img_00000009.jpg,6,4,1,3,3,4,3,3,0,0,0,0,1,3
5811,Varsity Stripe Tee,Varsity_Stripe_Tee/img_00000027.jpg,1,6,6,2,3,1,3,3,0,0,0,1,1,3
5814,Abstract Pattern Cardigan,Abstract_Pattern_Cardigan/img_00000002.jpg,2,2,6,1,3,1,6,3,1,0,0,0,0,1
5815,Tropical Print Shorts,Tropical_Print_Shorts/img_00000072.jpg,6,4,1,3,3,4,3,3,0,0,0,1,1,4
5821,Classic Pocket Tank,Classic_Pocket_Tank/img_00000019.jpg,1,5,6,3,3,4,3,2,0,0,0,1,1,4
5841,Open-Front Jersey Cardigan,Open-Front_Jersey_Cardigan/img_00000051.jpg,2,2,6,1,3,2,3,3,1,0,1,0,0,3
5843,Classic Wash - Slim Fit Jeans,Classic_Wash_-_Slim_Fit_Jeans/img_00000031.jpg,6,8,6,3,3,4,1,3,1,1,1,1,1,4
5844,Camouflage Print Shirt Jacket,Camouflage_Print_Shirt_Jacket/img_00000004.jpg,3,3,2,1,3,4,3,3,1,0,1,0,0,3
5847,Side-Slit Collared Blouse,Side-Slit_Collared_Blouse/img_00000077.jpg,1,1,6,2,3,2,3,3,0,0,0,1,1,2
5858,Life in Progress Boxy Denim Jacket,Life_in_Progress_Boxy_Denim_Jacket/img_00000006.jpg,3,3,2,1,3,2,1,3,0,0,0,1,1,2
5866,Hooded Asymmetrical Longline Jacket,Hooded_Asymmetrical_Longline_Jacket/img_00000018.jpg,3,3,6,1,3,1,3,3,1,1,0,0,0,4
5874,Faux Leather Grid Shorts,Faux_Leather_Grid_Shorts/img_00000047.jpg,6,4,6,3,3,4,4,3,0,0,0,0,1,2
5890,Daisy-Embroidered Denim Shorts,Daisy-Embroidered_Denim_Shorts/img_00000039.jpg,6,4,4,3,3,4,1,3,0,0,1,1,1,3
5907,Striped Henley,Striped_Henley/img_00000041.jpg,1,4,3,2,3,1,3,3,0,0,0,1,1,4
5922,Low-Rise Ankle Jeans,Low-Rise_Ankle_Jeans/img_00000007.jpg,6,8,6,3,3,4,1,1,1,1,1,1,0,4
5924,Marled Zip-Up Hoodie,Marled_Zip-Up_Hoodie/img_00000009.jpg,2,3,1,1,3,2,3,3,0,0,1,1,0,5
5925,Abstract Print French Terry Top,Abstract_Print_French_Terry_Top/img_00000023.jpg,1,7,6,2,3,1,6,3,0,0,0,1,1,2
5933,French Terry Sweatshorts,French_Terry_Sweatshorts/img_00000037.jpg,6,7,6,3,3,4,3,3,0,0,1,1,1,3
5936,Boxy Open-Knit Sweater,Boxy_Open-Knit_Sweater/img_00000048.jpg,2,5,4,1,3,1,6,3,1,0,1,1,0,3
5937,Corduroy Hooded Parka,Corduroy_Hooded_Parka/img_00000069.jpg,3,4,7,1,3,1,3,3,1,1,0,0,0,2
5939,Heathered Knit Longline Jacket,Heathered_Knit_Longline_Jacket/img_00000017.jpg,3,3,6,1,3,2,3,3,1,0,0,0,0,1
5957,Slit Midi Skirt,Slit_Midi_Skirt/img_00000034.jpg,6,2,6,3,3,4,3,1,0,0,0,0,1,2
5960,Colorblocked Paris Graphic Sweatpants,Colorblocked_Paris_Graphic_Sweatpants/img_00000017.jpg,6,6,6,3,3,4,1,3,0,0,1,1,0,2
5964,Chunky Longline Cardigan,Chunky_Longline_Cardigan/img_00000021.jpg,2,2,6,1,3,2,6,3,1,0,0,0,0,5
